,AFFILIATE|DESKTOP,AFFILIATE|MOBILE,B2B|DESKTOP,B2B|MOBILE,CONVERSION,DIRECT|DESKTOP,DIRECT|MOBILE,DISPLAY|DESKTOP,DISPLAY|MOBILE,ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,EMAIL|DESKTOP,EMAIL|MOBILE,NATURAL SEARCH|DESKTOP,NATURAL SEARCH|MOBILE,Null,OTHER|DESKTOP,OTHER|MOBILE,PAID SEARCH|DESKTOP,PAID SEARCH|MOBILE,REFERRAL ENGINE|DESKTOP,REFERRAL ENGINE|MOBILE,RESLINK|DESKTOP,RESLINK|MOBILE,SOCIAL MEDIA|DESKTOP,SOCIAL MEDIA|MOBILE,Start,TEST|DESKTOP,TEST|MOBILE,UNPAID REFERRER|DESKTOP,UNPAID REFERRER|MOBILE,Time_Period
ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,7.27E-05,0.000664397,0,0,0.009322315,0.004038286,0.059567312,0,0.000352961,0.00043601,0.062650527,0.000269911,0.011211693,0.0024292,0.028569056,0.047670459,0.000508679,0.005450129,0.000467154,0.004806494,0.000218005,0.001422224,3.11E-05,0.000654015,3.11E-05,0.000166099,0,1.04E-05,0,0.000280292,0.001681754,21-Jan
EMAIL|DESKTOP,0.007788907,9.74E-05,0,0,0.055907329,0.145185405,0.076207619,0.000855552,3.81E-05,0.003163847,9.32E-05,0.252692658,0.001681455,0.079443468,0.002058406,0.156091569,0.004946952,0.001804282,0.022866945,0.00058025,0.004633532,8.89E-05,0.001228267,4.66E-05,0.001486627,6.35E-05,0,0.000245653,0,0.023324368,0.000105885,21-Jan
EMAIL|MOBILE,0.000944689,0.002263101,0,0,0.040216759,0.016360767,0.145596296,0.000114193,0.001629848,9.34E-05,0.004609252,0.005273648,0.180570551,0.012166764,0.073062869,0.22676688,0.001526036,0.011377793,0.002065858,0.016495723,0.000882402,0.003778756,0.000155718,0.001058882,5.19E-05,0.000581347,0,1.04E-05,5.19E-05,0.001027739,0.008284196,21-Jan
NATURAL SEARCH|DESKTOP,0.009970573,0.000144725,0,0,0.139205943,0.089519031,0.065414636,0.000500748,6.46E-05,0.002950456,9.17E-05,0.01431714,0.000577934,0.289971537,0.004693907,0.207635679,0.009107048,0.001906508,0.10550919,0.000997636,0.035388104,0.000164021,0.002547156,8.49E-05,0.001182884,3.86E-05,0,9.17E-05,1.93E-06,0.017711419,0.000210333,21-Jan
NATURAL SEARCH|MOBILE,0.000774967,0.005362999,0,0,0.148771284,0.011444809,0.109778629,8.14E-05,0.000974325,0.000148816,0.007780561,0.001044521,0.027261445,0.020045263,0.381404713,0.173806101,0.000828317,0.012559526,0.002630958,0.041620805,0.001086639,0.03601633,0.000131969,0.00220978,5.62E-05,0.000881666,0,8.42E-06,7.58E-05,0.00122984,0.011983917,21-Jan
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Jan
OTHER|DESKTOP,0.011787234,0.000171993,0,0,0.12515336,0.377936775,0.03860663,0.00111222,8.03E-05,0.00456354,0.000355452,0.009505464,0.00116955,0.107839428,0.003646245,0.091786775,0.170834623,0.001708461,0.012910919,0.000722369,0.013564492,0.000355452,0.003760907,0.000126128,0.000596241,2.29E-05,0,2.29E-05,0,0.021269765,0.00038985,21-Jan
OTHER|MOBILE,0.003250444,0.0016335,0,0,0.026969306,0.035876295,0.147379226,0.000331115,0.000651193,0.000822269,0.002930367,0.006235997,0.008895953,0.037338719,0.034640133,0.035666589,0.002632363,0.62134256,0.007317638,0.009072547,0.001881836,0.004149973,0.00073949,0.001914948,0.000237299,0.000253855,0,1.66E-05,1.10E-05,0.004420383,0.003388409,21-Jan
PAID SEARCH|DESKTOP,0.01432113,0.000239912,0,0,0.205233274,0.092919406,0.081899461,0.000553396,0.000131152,0.003074069,0.000127953,0.016230827,0.000767717,0.167909409,0.004452761,0.077849751,0.004433568,0.002664619,0.293786287,0.002757385,0.010732051,0.000195128,0.001788142,0.000127953,0.0013595,4.16E-05,0,8.96E-05,3.20E-06,0.016083681,0.000227116,21-Jan
PAID SEARCH|MOBILE,0.001388296,0.00663081,0,9.71E-06,0.140237272,0.015047959,0.129218283,9.71E-05,0.000999961,0.000145625,0.004485263,0.001378587,0.011795658,0.021280727,0.125373772,0.166420722,0.000980544,0.011552949,0.006436643,0.334443323,0.001106753,0.007193895,0.000194167,0.001271795,7.77E-05,0.000747544,0,0,2.91E-05,0.001621296,0.00983457,21-Jan
REFERRAL ENGINE|DESKTOP,0.012731596,0.000179445,1.79E-05,0,0.219774797,0.078219909,0.051976134,0.000672917,7.18E-05,0.003382531,0.000170472,0.01326993,0.000771612,0.197021219,0.005132116,0.062832533,0.017388184,0.001946974,0.037871787,0.001300973,0.257494056,0.000951056,0.00233278,6.28E-05,0.009429815,7.18E-05,0,0.000107667,0,0.024512135,0.000305056,21-Jan
REFERRAL ENGINE|MOBILE,0.000558466,0.003271016,0,0,0.23886392,0.006409063,0.074275989,5.32E-05,0.001090339,5.32E-05,0.004813446,0.000664841,0.012445815,0.011834162,0.234848283,0.069834854,0.001116932,0.024545914,0.001595617,0.028747706,0.002925299,0.243065713,7.98E-05,0.001595617,0.000159562,0.009600298,0,0,0,0.000904183,0.02664681,21-Jan
RESLINK|DESKTOP,0.01648585,0.000347477,0,0,0.15528358,0.080112737,0.069109301,0.000193043,7.72E-05,0.004941894,0,0.012123084,0.000424694,0.11991815,0.002702598,0.206748774,0.010501525,0.001544342,0.022547392,0.000617737,0.008648315,3.86E-05,0.268638277,0.002625381,0.001428516,0,0,0.000115826,0,0.014671248,0.000154434,21-Jan
RESLINK|MOBILE,0.000940923,0.010282949,0,0,0.091605619,0.006519255,0.12561328,6.72E-05,0.000268835,0,0.006519255,0.000470462,0.00739297,0.008266685,0.06028631,0.301767592,0.001075341,0.020297063,0.001747429,0.010686202,0.000268835,0.004435782,0.006452047,0.326433228,0,0.00114255,0,0,6.72E-05,0.000537671,0.006855299,21-Jan
SOCIAL MEDIA|DESKTOP,0.008391428,0,0,0,0.028401756,0.148205525,0.04879938,0.033307514,0.000129099,0.003743868,0.000258198,0.029176349,0,0.113865221,0.001290989,0.07087529,0.005163956,0.001290989,0.031629228,0.000516396,0.304286083,0,0.003743868,0,0.118125484,0.000258198,0,0.000387297,0,0.048024787,0.000129099,21-Jan
SOCIAL MEDIA|MOBILE,0.000378501,0.002271007,0,0,0.070401211,0.00681302,0.099545799,0,0.018546556,0,0.003028009,0.001514005,0.014761544,0.004163512,0.092732778,0.204769114,0.000757002,0.00340651,0,0.021953066,0.000378501,0.313777441,0,0.005677517,0.000757002,0.0999243,0,0,0,0.000378501,0.034065102,21-Jan
Start,0.010866084,0.002591386,5.86E-06,0,0,0.194356848,0.319310586,0.002169259,0.001849,0.0039054,0.002790723,0.034946329,0.014336899,0.227444649,0.076855541,0,0.007988151,0.006875673,0.02324039,0.017087315,0.01075469,0.00556459,0.005826953,0.003637174,0.000676428,0.000570896,0,0.000264562,4.69E-05,0.021123163,0.004914545,21-Jan
TEST|DESKTOP,0.011102887,0,0,0,0.08142117,0.119170984,0.050333087,0.002220577,0,0.000740192,0,0.012583272,0,0.119911177,0.00296077,0.22057735,0.001480385,0.001480385,0.051813472,0,0.008882309,0.000740192,0.00296077,0,0.003700962,0,0,0.298297557,0,0.009622502,0,21-Jan
TEST|MOBILE,0.005882353,0.017647059,0,0,0.029411765,0.023529412,0.141176471,0,0.005882353,0,0,0,0.011764706,0.035294118,0.094117647,0.405882353,0,0,0,0.023529412,0,0.011764706,0,0.017647059,0,0,0,0,0.170588235,0.005882353,0,21-Jan
UNPAID REFERRER|DESKTOP,0.011463268,0.000101087,0,0,0.090863755,0.143274006,0.079205052,0.001017609,6.07E-05,0.003126959,0.000101087,0.024806755,0.000727827,0.123016167,0.003241524,0.119424208,0.025736756,0.00280348,0.035629806,0.000930001,0.043743724,0.000114565,0.002971958,9.43E-05,0.001806088,6.07E-05,0,0.000161739,0,0.28454649,0.000970435,21-Jan
UNPAID REFERRER|MOBILE,0.000621118,0.0063147,0,0,0.116149068,0.015079365,0.152484472,3.45E-05,0.002657005,6.90E-05,0.004692892,0.000931677,0.018288475,0.012767426,0.151173223,0.142201518,0.001138716,0.034679089,0.002242926,0.037991718,0.000828157,0.036645963,0.000138026,0.003450656,3.45E-05,0.002070393,0,0,0,0.006901311,0.250414079,21-Jan
AFFILIATE|DESKTOP,0.248369943,0.001131902,0,0,0.192199309,0.105927157,0.089361301,0.000353719,7.07E-05,0.003124521,8.25E-05,0.017603433,0.000601323,0.118743589,0.003171684,0.130805419,0.011260066,0.002947661,0.033591548,0.001379506,0.007475269,0.000141488,0.013759683,8.25E-05,0.001296971,1.18E-05,0,0.000165069,0,0.016106021,0.000235813,21-Feb
AFFILIATE|MOBILE,0.007717361,0.191588785,0,0,0.183588219,0.017063155,0.139195695,0,0.000637213,0.000212404,0.003540074,0.000920419,0.012248655,0.014301897,0.10768904,0.209713962,0.002619654,0.013239875,0.004743699,0.044534126,0.001062022,0.004602096,0,0.024568111,0,0.000708015,0,0,0,0.001345228,0.014160295,21-Feb
B2B|DESKTOP,0,0,0.173913043,0,0.130434783,0.173913043,0.130434783,0,0,0,0,0.043478261,0,0.043478261,0,0.304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Feb
B2B|MOBILE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Feb
CONVERSION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Feb
DIRECT|DESKTOP,0.007466582,0.00023895,1.81E-06,0,0.100915311,0.460767862,0.125902473,0.000753054,0.000100769,0.006326742,0.000190074,0.024812777,0.000968471,0.085022727,0.004411522,0.10639004,0.021416792,0.003361591,0.023134697,0.00124785,0.006448631,0.000143611,0.00204797,0.000114648,0.001216472,4.95E-05,0,0.000304118,5.43E-06,0.015910686,0.000328858,21-Feb
DIRECT|MOBILE,0.002990406,0.000909392,9.23E-07,0,0.008102649,0.0661621,0.75389161,0.00046173,0.000333728,0.000736416,0.001837926,0.005183048,0.004930734,0.042839424,0.016191921,0.058158624,0.003237877,0.01055314,0.007244458,0.005071882,0.001648114,0.000978813,0.000888634,0.000817138,0.000218641,0.0001453,0,6.87E-05,1.91E-05,0.004603233,0.001774271,21-Feb
DISPLAY|DESKTOP,0.005473026,0,0,0,0.190578577,0.147771697,0.069096951,0.213545739,0.001172791,0.001563722,0,0.014953088,0.000488663,0.066360438,0.001856919,0.233580923,0.011727912,0.002052385,0.012900704,0.001270524,0.006352619,9.77E-05,0.001465989,0,0.006450352,9.77E-05,0,9.77E-05,0,0.010652854,0.00039093,21-Feb
DISPLAY|MOBILE,0.000470293,0.001881173,0,0,0.150023515,0.011914093,0.235303339,0.000783822,0.212572504,0.000156764,0.004075874,0.000940586,0.015989967,0.013795266,0.068349271,0.228875999,0.000313529,0.009405863,0.002194701,0.019438784,0.000783822,0.00501646,0.000156764,0.001724408,0,0.004702931,0,0,0,0.000470293,0.010659978,21-Feb
ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,0.00117485,3.83E-06,0,0,0.011629865,0.035528682,0.020068118,6.12E-05,0,0.04206498,0.000214305,0.009046726,0.000107152,0.02077609,0.000600819,0.018721059,0.002150702,0.000818951,0.004867782,0.000187517,0.001672343,1.91E-05,0.000505147,2.68E-05,0.000275535,3.83E-06,0,8.42E-05,0,0.002740041,3.06E-05,21-Feb
ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,0.000143607,0.000655208,0,0,0.009361397,0.004254364,0.071426648,0,0.000215411,0.000655208,0.071929273,0.000269264,0.013211866,0.00307858,0.030678095,0.055486245,0.000502625,0.005573756,0.000484674,0.005286541,0.000143607,0.001543778,4.49E-05,0.000933447,0,0.000143607,0,0,0,0.000260288,0.00179509,21-Feb
EMAIL|DESKTOP,0.006719988,6.89E-05,0,0,0.050040182,0.159174926,0.076835942,0.000750067,3.83E-05,0.003624048,4.97E-05,0.259810187,0.00143125,0.084229459,0.002403276,0.122444606,0.005418851,0.002234893,0.023653898,0.00055107,0.004963453,9.57E-05,0.001331752,6.51E-05,0.001637901,3.83E-05,0,0.000956718,3.83E-06,0.017882974,0.000164556,21-Feb
EMAIL|MOBILE,0.000780864,0.001768164,0,0,0.03544406,0.01746623,0.173163398,8.08E-05,0.001050128,0.000152583,0.005421173,0.004873671,0.184562222,0.011964278,0.079585334,0.15701656,0.002001526,0.013122111,0.002225912,0.016057084,0.000780864,0.003626083,0.000116681,0.001229637,5.39E-05,0.000457748,0,8.98E-06,0.000260288,0.000960373,0.007691962,21-Feb
NATURAL SEARCH|DESKTOP,0.008949192,0.000122088,7.83E-07,0,0.145481695,0.089682094,0.065664451,0.000433568,5.71E-05,0.003148456,0.000124436,0.013087655,0.000439046,0.308070551,0.005065078,0.18507101,0.009108845,0.001834447,0.105755422,0.001090181,0.033488056,0.00017061,0.00300289,0.000104088,0.001298357,2.74E-05,0,0.000198001,2.35E-06,0.018293604,0.000228523,21-Feb
NATURAL SEARCH|MOBILE,0.000700731,0.004074622,0,2.36E-06,0.143527202,0.012294647,0.115266738,6.61E-05,0.00074084,0.00018403,0.008137447,0.001047558,0.028510557,0.021406511,0.383297589,0.171226138,0.001156088,0.013219518,0.003251204,0.042456759,0.00126226,0.031853776,0.000165155,0.002423067,6.37E-05,0.000865887,0,7.08E-06,0.000158077,0.001392025,0.01124237,21-Feb
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Feb
OTHER|DESKTOP,0.010583306,0.000399028,0,0,0.125222186,0.357347553,0.04252367,0.001151739,4.53E-05,0.004516269,0.00030834,0.008724199,0.001432873,0.112299126,0.005087605,0.078681032,0.195033917,0.001396597,0.013739253,0.00122429,0.013376501,0.000235789,0.003681939,0.000190445,0.000834331,3.63E-05,0,9.98E-05,0,0.021329851,0.000498785,21-Feb
OTHER|MOBILE,0.002437485,0.001538979,0,0,0.027250066,0.037525285,0.150783082,0.000244209,0.00046538,0.000898506,0.002432877,0.00519751,0.007312454,0.034659282,0.033548821,0.030374101,0.002308469,0.63277841,0.006773351,0.007671856,0.001608095,0.002921296,0.000691158,0.001870735,0.000225778,0.000267248,0,4.15E-05,1.84E-05,0.004137734,0.004017933,21-Feb
PAID SEARCH|DESKTOP,0.011430113,0.000244385,0,0,0.187321484,0.093271253,0.08311398,0.000389489,0.000104373,0.003492676,0.000140013,0.014378013,0.000725519,0.181285671,0.004902984,0.07553803,0.004600048,0.002731517,0.302175031,0.003065001,0.011488664,0.000190926,0.002062003,0.000114556,0.001420491,3.31E-05,0,0.000221474,0,0.01525882,0.000300391,21-Feb
PAID SEARCH|MOBILE,0.001094448,0.005747943,0,0,0.131124943,0.015096704,0.132294582,0.000125319,0.000910648,0.00029241,0.004603367,0.001044321,0.010894356,0.020585655,0.136321484,0.163941685,0.001144576,0.010936129,0.007552529,0.335469318,0.001211412,0.006942646,0.000208864,0.001528886,5.01E-05,0.000852166,0,8.35E-06,3.34E-05,0.001487113,0.008496596,21-Feb
REFERRAL ENGINE|DESKTOP,0.011778269,0.000146861,7.34E-06,0,0.204379401,0.077094792,0.051930123,0.000609474,8.08E-05,0.003524669,8.08E-05,0.012923786,0.000638846,0.203813986,0.005316376,0.067982054,0.01919476,0.00179905,0.039439578,0.001211605,0.258835537,0.001035372,0.002709589,0.000117489,0.00717417,5.87E-05,0,0.000154204,0,0.027661309,0.000301065,21-Feb
REFERRAL ENGINE|MOBILE,0.000373014,0.003133315,0,0,0.241489071,0.006589909,0.081640266,9.95E-05,0.000472484,7.46E-05,0.00606769,0.000547087,0.01099147,0.012085644,0.226667993,0.07049959,0.000994703,0.028000895,0.001740731,0.030487653,0.004053416,0.238679034,7.46E-05,0.001790466,9.95E-05,0.008206301,0,0,4.97E-05,0.001168776,0.023922612,21-Feb
RESLINK|DESKTOP,0.019918756,0.000112061,0,0,0.139095111,0.086286595,0.068356913,0.000308166,5.60E-05,0.005182799,0.000140076,0.009497128,0.000168091,0.122005883,0.002577392,0.186608769,0.00879675,0.001344726,0.023504693,0.000504272,0.00879675,0.000140076,0.296624177,0.00218518,0.001456787,2.80E-05,0,0.000140076,0,0.016024653,0.000140076,21-Feb
RESLINK|MOBILE,0.000625684,0.009906669,0,0,0.085770895,0.007299651,0.125501851,5.21E-05,0.000625684,0.000156421,0.007456072,0.000364983,0.007038949,0.009385265,0.058866469,0.287814797,0.001147088,0.016111372,0.001355649,0.010688774,0.000573544,0.003649825,0.006569686,0.350956776,0,0.001720632,0,0,0,0.000573544,0.00578758,21-Feb
SOCIAL MEDIA|DESKTOP,0.009958338,0,0,0,0.031907326,0.14002642,0.044812519,0.017477899,0,0.004064628,0.000101616,0.026420079,0.000101616,0.129255157,0.001829082,0.055278935,0.006096941,0.001219388,0.03607357,0.000304847,0.318260339,0,0.003759781,0,0.125190529,0.000406463,0,0.000304847,0,0.04714968,0,21-Feb
SOCIAL MEDIA|MOBILE,0.000320307,0.001601537,0,0,0.060538117,0.011851377,0.109545163,0,0.014413837,0,0.002242152,0.000960922,0.01409353,0.00768738,0.092568866,0.227738629,0.000960922,0.005765535,0.000640615,0.020819987,0,0.257847534,0,0.005445227,0.000960922,0.123959001,0,0,0.000320307,0.002242152,0.037475977,21-Feb
Start,0.008672669,0.001945406,6.26E-06,0,0,0.186399178,0.339510576,0.002004851,0.00152241,0.003929607,0.003151821,0.031252894,0.011273844,0.223142259,0.074827736,0,0.008329767,0.006900591,0.025198295,0.016703335,0.012350731,0.005097852,0.006112167,0.003731876,0.000764021,0.000547517,0,0.000523739,4.32E-05,0.021041546,0.005015881,21-Feb
TEST|DESKTOP,0.007227332,0,0,0,0.007227332,0.211563732,0.105124836,0.00065703,0,0.004270696,0.000328515,0.044678055,0.00065703,0.189881735,0.003285151,0.109395532,0.006241787,0.000985545,0.04434954,0.00065703,0.005913272,0,0.005913272,0,0.002956636,0,0,0.224375821,0.00065703,0.023324573,0.000328515,21-Feb
TEST|MOBILE,0.005434783,0,0,0,0.005434783,0.035326087,0.277173913,0,0,0,0.005434783,0.002717391,0.046195652,0.035326087,0.138586957,0.111413043,0,0.010869565,0.002717391,0.032608696,0,0.010869565,0,0.002717391,0,0.002717391,0,0,0.25,0.005434783,0.019021739,21-Feb
UNPAID REFERRER|DESKTOP,0.009903772,0.000103224,0,0,0.095671472,0.138509445,0.075342073,0.00077418,6.88E-05,0.003113925,9.18E-05,0.020495705,0.000470243,0.13575107,0.003458005,0.118919818,0.028334996,0.002701029,0.035468924,0.001037975,0.042350526,0.000160571,0.003240088,5.16E-05,0.001783482,4.01E-05,0,0.000263795,5.73E-06,0.280878322,0.001009302,21-Feb
UNPAID REFERRER|MOBILE,0.000758725,0.00519435,0,0,0.104237189,0.014444963,0.158719505,0,0.001721723,0.000116727,0.005573713,0.000933816,0.017917591,0.014707599,0.146346446,0.170742384,0.001809268,0.041175441,0.003034901,0.033850823,0.001196451,0.028218746,0.00017509,0.003764445,0.000145909,0.001984359,0,0,2.92E-05,0.006507529,0.236693125,21-Feb
AFFILIATE|DESKTOP,0.236893723,0.000927247,0,0,0.230991441,0.09021933,0.077148716,0.000436876,5.35E-05,0.003093795,8.02E-05,0.013222183,0.000463623,0.111278531,0.002844151,0.143955064,0.010074893,0.00256776,0.032578459,0.00139087,0.005920114,0.00010699,0.020791726,8.02E-05,0.001078816,1.78E-05,0,4.46E-05,0,0.013596648,0.000142653,21-Mar
AFFILIATE|MOBILE,0.007854051,0.180766852,0,0,0.204638219,0.013605442,0.109461967,0.000185529,0.000556586,6.18E-05,0.002782931,0.000803958,0.009276438,0.014162028,0.101546073,0.228880643,0.002164502,0.012244898,0.003586889,0.044032158,0.000618429,0.005132962,0.000556586,0.045021645,0,0.000371058,0,0,0,0.001360544,0.010327767,21-Mar
B2B|DESKTOP,0.032258065,0,0.129032258,0,0.258064516,0.161290323,0.096774194,0,0,0,0,0.032258065,0,0.032258065,0.064516129,0.129032258,0.032258065,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,21-Mar
B2B|MOBILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Mar
CONVERSION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Mar
DIRECT|DESKTOP,0.007420565,0.000170096,9.72E-07,0,0.111814877,0.455171894,0.125639804,0.000728011,0.000126843,0.007084261,0.000176414,0.022288425,0.000864088,0.094164731,0.004084251,0.091682299,0.022356463,0.003195863,0.025471652,0.001296133,0.006025777,9.04E-05,0.002347327,0.000121497,0.001143532,3.89E-05,0,0.00010789,9.72E-07,0.016142609,0.00024348,21-Mar
DIRECT|MOBILE,0.003315607,0.000819224,1.78E-06,1.97E-07,0.009439643,0.071762302,0.74693655,0.000520606,0.000332785,0.000929428,0.001853327,0.006046025,0.006053135,0.051647464,0.016881983,0.045028891,0.003658464,0.008389938,0.009162553,0.005684405,0.001682491,0.000841344,0.001099277,0.001049508,0.000200856,0.000123042,0,2.25E-05,4.15E-06,0.005013897,0.001498619,21-Mar
DISPLAY|DESKTOP,0.005435997,0.000148931,0,0,0.205376424,0.131283044,0.066051083,0.22071636,0.00156378,0.001712711,0.000148931,0.014967607,0.000595726,0.067465932,0.002755231,0.22332266,0.011765582,0.000819123,0.018020701,0.000819123,0.006925311,0.000148931,0.002308437,0,0.005659394,0,0,0,0,0.011914513,7.45E-05,21-Mar
DISPLAY|MOBILE,0.000530434,0.000663042,0,0,0.159925739,0.015249967,0.25142554,0.001856518,0.215356054,0.000132608,0.003182602,0.000928259,0.014321708,0.014056491,0.057949874,0.213366927,0.000663042,0.007160854,0.00331521,0.019228219,0.00079565,0.003845644,0.000132608,0.002121735,0,0.004773903,0,0,0,0.000928259,0.008089113,21-Mar
ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,0.001403066,0,0,0,0.013713415,0.04022122,0.024254396,0.00011774,3.27E-06,0.050072116,0.000202774,0.010387266,0.000127551,0.026641898,0.000722791,0.0224883,0.002531405,0.000722791,0.00630562,0.000192962,0.001952518,9.81E-06,0.000719521,2.94E-05,0.000277997,0,0,3.60E-05,0,0.003591064,4.58E-05,21-Mar
ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,0.000216767,0.001436081,0,0,0.038367745,0.016067848,0.239391969,8.13E-05,0.000704492,0.001652848,0.257221048,0.000839972,0.051102802,0.012220235,0.112745895,0.208475587,0.003034737,0.017178779,0.00235734,0.020484474,0.000487726,0.004877256,0.000270959,0.002845066,2.71E-05,0.000569013,0,2.71E-05,0,0.001219314,0.00609657,21-Mar
EMAIL|DESKTOP,0.006825637,5.23E-05,6.54E-06,0,0.068537639,0.134128513,0.068275995,0.000663922,4.58E-05,0.003734968,3.92E-05,0.233291579,0.001592758,0.08877253,0.002312279,0.130161336,0.005716921,0.001645086,0.02582099,0.000663922,0.005209986,5.23E-05,0.001648357,5.56E-05,0.001318032,3.27E-05,0,0.000369572,0,0.012159904,9.48E-05,21-Mar
